"failing","Is currently in danger of failing or is failing","Tab tom nyob rau qhov yuav poob qib lossis poob lawm ntag"
"grade-a","Is earning a grade of A in class","Tab tom tau qhab nias A hauv hoob"
"grade-b","Is earning a grade of B in class","Tab tom tau qhab nias B hauv hoob"
"grade-c","Is earning a grade of C in class","Tab tom tau qhab nias C hauv hoob"
"grade-d","Is earning a grade of D in class","Tab tom tau qhab nias D hauv hoob"
"grade-f","Is earning a grade of F in class","Tab tom tau qhab nias F hauv hoob"
"leftclass","Left class without permission","Tawm hoob yam tsis tau kev tso cai tawm"
"losttextbook","Lost one or more textbooks","Ua ib lossis ntau phau ntawv kawm ploj lawm"
"madenoises","Made inappropriate noises during a test","Ua nrhoo thaum xeem ntawv yam tsis raug cai"
"saturdayschool","Must attend Saturday school","Yuav tsum tuaj kawm ntawv hnub Zwj Cag (Saturday)"
"test-friday","Must study for Friday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Kuab (Friday)"
"test-monday","Must study for Monday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Hli (Monday)"
"test-nextfriday","Must study for next Friday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Kuab (Friday) tom ntej"
"test-nextmonday","Must study for next Monday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Hli (Monday) tom ntej"
"test-nextthurday","Must study for next Thursday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Teeb (Thursday) tom ntej"
"test-nexttuesday","Must study for next Tuesday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Quag (Tuesday) tom ntej"
"test-nextwednesday","Must study for next Wednesday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Feej (Wednesday) tom ntej"
"test-thursday","Must study for Thursday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Teeb (Thursday)"
"test-tomorrow","Must study for tomorrow's test","Yuav tsum saib ntawv npaj xeem ntawv tag kis"
"test-tuesday","Must study for Tuesday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Quag (Tuesday)"
"test-wednesday","Must study for Wednesday's test","Yuav tsum saib ntawv npaj xeem ntawv hnub Zwj Feej (Wednesday)"
"fillplaner","Needs to fill out the daily planner","Yuav tsum teb kom tiav phau ntawv npaj sij hawm"
"supplies","Needs to have supplies out and ready at the start of class","Yuav tsum rho tej khoom sau ntawv tawm thiab npaj kom tiav thaum yuav pib hoob"
"improve-algebra","Needs to improve handwriting skills","Yuav tsum xyaum sau ntawv kom zoo nkauj dua qub"
"improve-language","Needs to improve language skills","Yuav tsum xyaum hais lus kom zoo dua qub"
"improve-math","Needs to improve math skills","Yuav tsum xyaum ua lej kom zoo dua qub"
"improve-organizational","Needs to improve organizational skills","Yuav tsum xyaum tu thiab ceev khoom kom zoo dua qub"
"improve-spelling","Needs to improve spelling skills","Yuav tsum xyaum sau tsiaj ntawv kom meej dua qub"
"studytest","Needs to study for a test or quiz","Yuav tsum saib ntawv npaj yuav xeem daim ntawv xeem lossis ntsuas"
"takenotes","Needs to take better notes in class","Yuav tsum sau ntawv ceev lus hauv hoob zoo dua qub"
"wrokbetter","Needs to work better with others on a team","Yuav tsum ua hauj lwm nrog lwm tus hauv nws pab pawg kom zoo dua qub"
"participated","Participated well in class","Koom tes zoo hauv hoob"
"testgrade-a","Received a grade of A on a test or quiz","Tau txais tus qhab nias A rau ib daim ntawv xeem lossis ntsuas"
"testgrade-b","Received a grade of B on a test or quiz","Tau txais tus qhab nias B rau ib daim ntawv xeem lossis ntsuas"
"testgrade-c","Received a grade of C on a test or quiz","Tau txais tus qhab nias C rau ib daim ntawv xeem lossis ntsuas"
"testgrade-d","Received a grade of D on a test or quiz","Tau txais tus qhab nias D rau ib daim ntawv xeem lossis ntsuas"
"testgrade-f","Received a grade of F on a test or quiz","Tau txais tus qhab nias F rau ib daim ntawv xeem lossis ntsuas"
"lowtestscore","Received a low test score","Tau ib qho qhab nias xeem ntawv qis"
"conferenceasap","Requires that a parent-teacher conference be scheduled as soon as possible. Please contact the teacher.","Yuav tsum tau teem lub rooj rau niam txiv-kws qhia ntawv tuaj sib tham sai li sai tau. Thov hu rau tus kws qhia ntawv."
"conference","Requires that a parent-teacher conference be scheduled. Please contact the teacher.","Yuav tsum tau teem lub rooj rau niam txiv-kws qhia ntawv tuaj sib tham. Thov hu rau tus kws qhia ntawv."
"scoreperfect","Scored perfectly on the test","Xeem tau zoo tshaj plaws hauv daim ntawv xeem"
"scoreverywell","Scored very well on the test","Xeem tau zoo heev rau hauv daim ntawv xeem"
"scorewell","Scored well on the test","Xeem tau zoo hauv daim ntawv xeem"
"shared","Shared well with others","Faib tswv yim tau zoo nrog lwm tus"
"academicimprovement","Showed improvement in academic achievement","Ua qhia tias nws kawm tau ntawv zoo dua qub lawm"
"behaviorimprovement","Showed improvement in behavior","Ua qhia tias nws coj cwj pwm zoo dua qub lawm"
"improvement","Showed improvement in behavior and academic achievement","Ua qhia tias nws coj cwj pwm zoo thiab kawm tau ntawv zoo dua qub lawm"
"slept","Slept in class today","Tsaug zog hauv hoob hnub no"
"focused","Stays focused","Tab caws ua ntawv"
"focusedorganized","Stays focused and organized","Tab caws ua ntawv thiab ceev ntawv zoo"
"organized","Stays organized","Ceev ntawv zoo"
"goodnoted","Takes good notes","Sau cov ntsiab lus qhia zoo"
"mobile","Used a mobile phone or other electronic device inappropriately","Siv ib lub xov tooj nqa ntawm duav lossis lwm lub tshuab siv fais fab yam tsis raug cai"
"badlanguageclass","Used inappropriate language in class","Siv lus phem tsis raug cai hauv hoob"
"badlanguagecampus","Used inappropriate language on campus","Siv lus phem tsis raug cai tim tsev kawm ntawv"
"profanityclass","Used profanity in class ","Siv lus dev hauv hoob"
"profanitycampus","Used profanity on campus ","Siv lus dev tim tsev kawm ntawv"
"pleasureclass","Was a pleasure to have in class","Yog ib tus yus zoo siab tias nyob hauv yus hoob"
"absent","Was absent","Qhaj tsis tuaj"
"absentmakeup","Was absent and needs to complete make up work","Qhaj tsis tuaj thiab yuav tsum ua ntawv pauj hnub tsis tuaj"
"assignedproject","Was assigned a project, please check the due date with your child","Tau txib nws kom ua ib tes hauj lwm, thov kuaj hnub tas caij nrog koj tus menyuam"
"assigneddetention","Was assigned detention","Raug rau txim tom qab lawb ntawv"
"homeworkdue-friday","Was assigned homework that is due Friday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Kuab (Friday)"
"homeworkdue-monday","Was assigned homework that is due Monday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Hli (Monday)"
"homeworkdue-nextfriday","Was assigned homework that is due next Friday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Kuab (Friday) tom ntej"
"homeworkdue-nextmonday","Was assigned homework that is due next Monday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Hli (Monday) tom ntej"
"homeworkdue-nextthursday","Was assigned homework that is due next Thursday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Teeb (Thursday) tom ntej"
"homeworkdue-nexttuesday","Was assigned homework that is due next Tuesday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Quag (Tuesday) tom ntej"
"homeworkdue-nextwednesday","Was assigned homework that is due next Wednesday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Feej (Wednesday) tom ntej"
"homeworkdue-thursday","Was assigned homework that is due Thursday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Teeb (Thursday)"
"homeworkdue-tomorrow","Was assigned homework that is due tomorrow","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau tag kis"
"homeworkdue-tuesday","Was assigned homework that is due Tuesday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Quag (Tuesday)"
"homeworkdue-wednesday","Was assigned homework that is due Wednesday","Tau muab ntawv rau nqa los ua tom tsev uas tas caij rau hnub Zwj Feej (Wednesday)"
"disrispectfulclassmates","Was disrespectful to classmates","Tau ua saib tsis taus cov khub hauv hoob"
"disrispectfulteacher","Was disrespectful to the teacher","Tau ua saib tsis taus tus kws qhia ntawv"
"disruptiveevent","Was disruptive during a school event","Ua tej yam cuam tshuam ib lub koom txoos tim tsev kawm ntawv"
"disruptiveclass","Was disruptive in class","Ua tej yam cuam tshuam nyob rau hauv hoob"
"disruptivefieldtrip","Was disruptive on the field trip","Ua tej yam cuam tshuam thaum mus chaw ua si"
"classpresident","Was elected class president","Raug xaiv tsa los ua tus thawj coj hauv nws qib"
"homeworkassignment","Was given a homework assignment","Tau txais ib qho ntawv nqa los ua tom tsev"
"importantform","Was given an important form which must be returned","Tau txais ib daim ntawv tseem ceeb uas yuav tsum tau xa rov tuaj"
"importantletter","Was given an important letter which must be signed","Tau txais ib daim ntawv tseem ceeb uas yuav tsum tau kos npe"
"missingreadinglog","Was missing the reading log","Nqa tsis tau nplooj ntawv nyeem ntawv tuaj"
"notattentive","Was not attentive in class","Tsis mloog lus hauv hoob"
"inappropriatedressed","Was not dressed appropriately","Tsis hnav tsoos tsho kom raug cai"
"notdressedpe","Was not dressed properly for P.E.","Tsis hnav tsoos tsho thwj rau hoob ua si P.E."
"notpresentmakeup","Was not present in class and needs to complete make-up work","Tsis tuaj rau hauv hoob thiab yuav tsum ua ib qho ntawv pauj qhov no"
"gradingsheet-friday","Will have a grading sheet sent home Friday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Kuab (Friday)"
"gradingsheet-monday","Will have a grading sheet sent home Monday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Hli (Monday)"
"gradingsheet-nextfriday","Will have a grading sheet sent home next Friday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Kuab (Friday) tom ntej"
"gradingsheet-nextmonday","Will have a grading sheet sent home next Monday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Hli (Monday) tom ntej"
"gradingsheet-nextthursday","Will have a grading sheet sent home next Thursday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Teeb (Thursday) tom ntej"
"gradingsheet-nexttuesday","Will have a grading sheet sent home next Tuesday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Quag (Tuesday) tom ntej"
"gradingsheet-nextwednesday","Will have a grading sheet sent home next Wednesday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Feej (Wednesday) tom ntej"
"gradingsheet-thursday","Will have a grading sheet sent home Thursday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Teeb (Thursday)"
"gradingsheet-tuesday","Will have a grading sheet sent home Tuesday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Quag (Tuesday)"
"gradingsheet-wednesday","Will have a grading sheet sent home Wednesday","Yuav xa ib daim ntawv kuaj qhab nias los tsev hnub Zwj Feej (Wednesday)"
"reportcard-friday","Will have a report card sent home Friday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Kuab (Friday)"
"reportcard-monday","Will have a report card sent home Monday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Hli (Monday)"
"reportcard-nextfriday","Will have a report card sent home next Friday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Kuab (Friday) tom ntej"
"reportcard-nextmonday","Will have a report card sent home next Monday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Hli (Monday) tom ntej"
"reportcard-nextthursday","Will have a report card sent home next Thursday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Teeb (Thursday) tom ntej"
"reportcard-nexttuesday","Will have a report card sent home next Tuesday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Quag (Tuesday) tom ntej"
"reportcard-nextwednesday","Will have a report card sent home next Wednesday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Feej (Wednesday) tom ntej"
"reportcard-thursday","Will have a report card sent home Thursday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Teeb (Thursday)"
"reportcard-tuesday","Will have a report card sent home Tuesday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Quag (Tuesday)"
"reportcard-wednesday","Will have a report card sent home Wednesday","Yuav xa ib daim ntawv qhia qhab nias los tsev hnub Zwj Feej (Wednesday)"
"inappropriateclothing","Wore inappropriate clothing","Hnav tsoos tsho tsis raug cai"
"wrokedwell","Worked well with others on a team","Ua hauj lwm zoo nrog lwm tus hauv pab pawg"
"worksefficiently","Works efficiently","Ua hauj lwm tau zoo raws caij"
