"gradingsheet-nextthursday","Will have a grading sheet sent home next Thursday","Izvještaj sa ocjenama će biti poslat kući sljedećeg četvrtka"
"gradingsheet-nexttuesday","Will have a grading sheet sent home next Tuesday","Izvještaj sa ocjenama će biti poslat kući sljedećeg utorka"
"gradingsheet-nextwednesday","Will have a grading sheet sent home next Wednesday","Izvještaj sa ocjenama će biti poslat kući sljedeće srijede"
"gradingsheet-thursday","Will have a grading sheet sent home Thursday","Izvještaj sa ocjenama će biti poslat kući u četvrtak"
"gradingsheet-tuesday","Will have a grading sheet sent home Tuesday","Izvještaj sa ocjenama će biti poslat kući u utorak"
"gradingsheet-wednesday","Will have a grading sheet sent home Wednesday","Izvještaj sa ocjenama će biti poslat kući u srijedu"
"reportcard-friday","Will have a report card sent home Friday","Svjedočanstvo će biti poslato kući u petak"
"reportcard-monday","Will have a report card sent home Monday","Svjedočanstvo će biti poslato kući u ponedjeljak"
"reportcard-nextfriday","Will have a report card sent home next Friday","Svjedočanstvo će biti poslato kući sljedećeg petka"
"reportcard-nextmonday","Will have a report card sent home next Monday","Svjedočanstvo će biti poslato kući sljedećeg ponedjeljka"
"reportcard-nextthursday","Will have a report card sent home next Thursday","Svjedočanstvo će biti poslato kući sljedećeg četvrtka "
"reportcard-nexttuesday","Will have a report card sent home next Tuesday","Svjedočanstvo će biti poslato kući sljedećeg utorka"
"reportcard-nextwednesday","Will have a report card sent home next Wednesday","Svjedočanstvo će biti poslato kući sljedeće srijede"
"reportcard-thursday","Will have a report card sent home Thursday","Svjedočanstvo će biti poslato kući u četvrtak"
"reportcard-tuesday","Will have a report card sent home Tuesday","Svjedočanstvo će biti poslato kući u utorak"
"reportcard-wednesday","Will have a report card sent home Wednesday","Svjedočanstvo će biti poslato kući u srijedu"
"inappropriateclothing","Wore inappropriate clothing","Nosio/la neodgovarajuću odjeću"
"wrokedwell","Worked well with others on a team","Sarađivao/la dobro sa ostalima u timu"
"worksefficiently","Works efficiently","Radi uspješno"
