"fieldtripform-nextfriday","Has a field trip next Friday. Please return the signature form.","Effectue une sortie éducative vendredi prochain. Veuillez nous retourner le formulaire de signature."
"Fieldtrip-nextmonday","Has a field trip next Monday","Effectue une sortie éducative lundi prochain"
"fieldtripform-nextmonday","Has a field trip next Monday. Please return the signature form.","Effectue une sortie éducative lundi prochain. Veuillez nous retourner le formulaire de signature."
"fieldtrip-nextthursday","Has a field trip next Thursday","Effectue une sortie éducative jeudi prochain"
"fieldtripform-nextthursday","Has a field trip next Thursday. Please return the signature form.","Effectue une sortie éducative jeudi prochain. Veuillez nous retourner le formulaire de signature."
"fieldtrip-nexttuesday","Has a field trip next Tuesday","Effectue une sortie éducative mardi prochain"
"fieldtripform-nexttuesday","Has a field trip next Tuesday. Please return the signature form.","Effectue une sortie éducative mardi prochain. Veuillez nous retourner le formulaire de signature."
"fieldtrip-nextwednesday","Has a field trip next Wednesday","Effectue une sortie éducative mercredi prochain"
"fieldtripform-nextwednesday","Has a field trip next Wednesday. Please return the signature form.","Effectue une sortie éducative mercredi prochain. Veuillez nous retourner le formulaire de signature."
"fieldtrip-thursday","Has a field trip Thursday","Effectue une sortie éducative jeudi"
"fieldtripform-thursday","Has a field trip Thursday. Please return the signature form.","Effectue une sortie éducative jeudi. Veuillez nous retourner le formulaire de signature."
"fieldtrip-tuesday","Has a field trip Tuesday","Effectue une sortie éducative mardi "
"fieldtripform-tuesday","Has a field trip Tuesday. Please return the signature form.","Effectue une sortie éducative mardi. Veuillez nous retourner le formulaire de signature."
"fieldtrip-wednesday","Has a field trip Wednesday","Effectue une sortie éducative mercredi "
"fieldtripform-wednesday","Has a field trip Wednesday. Please return the signature form.","Effectue une sortie éducative mercredi. Veuillez nous retourner le formulaire de signature."
"projectdue-friday","Has a project due Friday","A un projet à rendre vendredi"
"projectdue-nextweek","Has a project due in one week","A un projet à rendre dans une semaine"
"projectdue-monday","Has a project due Monday","A un projet à rendre lundi"
"projectdue-nextfriday","Has a project due next Friday","A un projet à rendre vendredi prochain"
